record_id,received_at,from_domain,subject,message,region
NOVA-000236,2026-03-10T13:14:13,yahoo.com,Physical card has not arrived after 5 days of 's,Physical card has not arrived after 5 days of 'shipped'.,Singapore
NOVA-000093,2026-06-08T22:38:30,gmail.com,Font is tiny and there is no dark mode option,Font is tiny and there is no dark mode option.,Chennai
NOVA-000397,2026-06-11T12:01:35,gmail.com,"Cannot increase my card limit, the option is gre","Cannot increase my card limit, the option is greyed out.",Kochi
NOVA-000709,2026-08-02T05:59:56,proton.me,Metal card feels premium and works everywhere,Metal card feels premium and works everywhere.,Ahmedabad
NOVA-000153,2026-04-19T12:00:25,rediffmail.com,Auto-pay for my rent silently failed and I got a,Auto-pay for my rent silently failed and I got a late fee.,Pune
NOVA-000209,2026-03-06T22:49:31,yahoo.com,"Runs great even on my old phone, no complaints o","Runs great even on my old phone, no complaints on speed.",Indore
NOVA-000383,2026-06-30T10:27:33,outlook.com,Instant card freeze feature saved me when I lost,Instant card freeze feature saved me when I lost my wallet.,Mumbai
NOVA-000457,2026-06-16T07:22:33,proton.me,Auto-pay for my rent silently failed and I got a,Auto-pay for my rent silently failed and I got a late fee.,Indore
NOVA-000681,2026-08-19T08:16:43,proton.me,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,Pune
NOVA-000678,2026-04-19T04:53:43,hotmail.com,Please add support for recurring SIP investments,Please add support for recurring SIP investments.,Singapore
NOVA-000322,2026-05-17T14:00:04,outlook.com,"Love the real-time fraud alerts, caught a bad ch","Love the real-time fraud alerts, caught a bad charge fast.",Jaipur
NOVA-000450,2026-03-08T02:13:54,rediffmail.com,Font is tiny and there is no dark mode option,Font is tiny and there is no dark mode option.,Indore
NOVA-000289,2026-07-21T21:03:40,rediffmail.com,"3 din se ticket raise kiya hai, koi reply nahi a","3 din se ticket raise kiya hai, koi reply nahi aaya support se.",Hyderabad
NOVA-000581,2026-03-23T20:58:27,hotmail.com,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,Hyderabad
NOVA-000386,2026-03-16T13:40:50,rediffmail.com,Freezes on the transaction history page and I ha,Freezes on the transaction history page and I have to restart.,Delhi
NOVA-000538,2026-08-05T02:45:19,proton.me,A spending analytics dashboard would be great,A spending analytics dashboard would be great.,Dubai
NOVA-000163,2026-08-09T10:43:30,outlook.com,"White screen on launch after the update, tried r","White screen on launch after the update, tried reinstalling twice.",Bengaluru
NOVA-000627,2026-07-02T15:09:09,rediffmail.com,What documents do I need for full KYC?,What documents do I need for full KYC?,London
NOVA-000514,2026-07-16T16:50:36,gmail.com,2FA codes arrive five minutes late so I keep get,2FA codes arrive five minutes late so I keep getting locked out.,Singapore
NOVA-000277,2026-05-04T12:33:11,yahoo.com,What documents do I need for full KYC?,What documents do I need for full KYC?,Singapore
NOVA-000008,2026-03-15T11:52:20,gmail.com,Add Apple Watch support for quick balance checks,Add Apple Watch support for quick balance checks.,Kochi
NOVA-000429,2026-05-26T02:06:59,proton.me,Can you integrate with Google Pay for tap to pay,Can you integrate with Google Pay for tap to pay?,Singapore
NOVA-000487,2026-05-07T07:59:14,gmail.com,Any plans for a lighter version of the app?,Any plans for a lighter version of the app?,Jaipur
NOVA-000115,2026-07-24T08:39:56,outlook.com,A spending analytics dashboard would be great,A spending analytics dashboard would be great.,Lucknow
NOVA-000327,2026-07-27T15:11:16,yahoo.com,"UPI transaction stuck on 'processing' forever, h","UPI transaction stuck on 'processing' forever, had to force close.",Lucknow
NOVA-000502,2026-08-01T20:50:42,hotmail.com,"So slow to load, spinning wheel for 30 seconds o","So slow to load, spinning wheel for 30 seconds on the home tab.",Delhi
NOVA-000731,2026-03-19T16:00:47,yahoo.com,Physical card has not arrived after 7 days of 's,Physical card has not arrived after 7 days of 'shipped'.,Chennai
NOVA-000026,2026-08-19T02:46:05,proton.me,"White screen on launch after the update, tried r","White screen on launch after the update, tried reinstalling twice.",Bengaluru
NOVA-000530,2026-05-22T10:14:27,rediffmail.com,Can I open an account without Aadhaar?,Can I open an account without Aadhaar?,Kolkata
NOVA-000564,2026-05-29T23:01:27,yahoo.com,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,Jaipur
NOVA-000212,2026-04-17T04:26:28,rediffmail.com,Add Apple Watch support for quick balance checks,Add Apple Watch support for quick balance checks.,Hyderabad
NOVA-000573,2026-04-27T20:18:55,outlook.com,Add Apple Watch support for quick balance checks,Add Apple Watch support for quick balance checks.,Singapore
NOVA-000232,2026-04-26T03:47:13,rediffmail.com,Started charging for what used to be a free feat,Started charging for what used to be a free feature.,Lucknow
NOVA-000690,2026-04-17T21:46:47,rediffmail.com,"KYC has been 'under review' for 21 days, still c","KYC has been 'under review' for 21 days, still cannot use my account.",Chennai
NOVA-000665,2026-06-17T15:33:41,rediffmail.com,Points I earned vanished after the update,Points I earned vanished after the update.,Mumbai
NOVA-000185,2026-03-27T11:16:01,yahoo.com,Signup rejected my valid PAN twice with no expla,Signup rejected my valid PAN twice with no explanation.,Kochi
NOVA-000587,2026-08-04T21:15:32,gmail.com,How do I set up biometric login?,How do I set up biometric login?,Indore
NOVA-000360,2026-06-19T11:33:13,outlook.com,"Cannot increase my card limit, the option is gre","Cannot increase my card limit, the option is greyed out.",Pune
