record_id,source,theme,sentiment,priority,signal_tags,is_noise
NOVA-000888,email,payments_transactions,neutral,low,,False
NOVA-001353,email,security_fraud,negative,high,emerging_phishing_security,False
NOVA-000973,support_ticket,feature_request,neutral,low,,False
NOVA-001321,support_ticket,app_performance,negative,urgent,emerging_payment_crash_v420,False
NOVA-000837,social,feature_request,neutral,low,,False
NOVA-001167,email,payments_transactions,negative,medium,,False
NOVA-001239,app_review,app_performance,negative,medium,,False
NOVA-000870,call_center,onboarding_kyc,positive,low,,False
NOVA-001387,app_review,ui_ux,negative,medium,conflict_ui_redesign,False
NOVA-001028,app_review,app_performance,negative,medium,,False
NOVA-001399,social,ui_ux,neutral,low,edge_case,False
NOVA-000871,app_review,rewards_cashback,negative,medium,,False
NOVA-001301,app_review,app_performance,negative,urgent,emerging_payment_crash_v420,False
NOVA-000804,app_review,customer_support,neutral,low,,False
NOVA-000988,app_review,card_issues,negative,medium,,False
NOVA-001154,survey,customer_support,positive,low,,False
NOVA-001279,app_review,fees_pricing,negative,medium,,False
NOVA-001144,social,ui_ux,negative,medium,,False
NOVA-000856,app_review,security_fraud,negative,medium,,False
NOVA-000849,support_ticket,customer_support,negative,medium,,False
NOVA-001087,call_center,customer_support,negative,medium,,False
NOVA-000938,social,security_fraud,negative,medium,,False
NOVA-000829,support_ticket,security_fraud,negative,medium,,False
NOVA-001296,support_ticket,app_performance,negative,urgent,emerging_payment_crash_v420,False
NOVA-001143,app_review,fees_pricing,positive,low,,False
NOVA-001137,email,rewards_cashback,negative,medium,,False
NOVA-000999,email,customer_support,negative,medium,,False
NOVA-000967,app_review,card_issues,negative,medium,,False
NOVA-000808,app_review,ui_ux,neutral,low,,False
NOVA-001311,social,app_performance,negative,urgent,emerging_payment_crash_v420,False
NOVA-001325,call_center,app_performance,negative,urgent,emerging_payment_crash_v420,False
NOVA-001306,social,app_performance,negative,urgent,emerging_payment_crash_v420,False
NOVA-000815,social,payments_transactions,neutral,low,,False
NOVA-000899,call_center,app_performance,positive,low,,False
NOVA-000945,app_review,rewards_cashback,negative,medium,,False
NOVA-001377,app_review,ui_ux,negative,medium,conflict_ui_redesign,False
NOVA-001342,call_center,security_fraud,negative,high,emerging_phishing_security,False
NOVA-001172,survey,rewards_cashback,neutral,low,,False
NOVA-001117,survey,payments_transactions,negative,medium,,False
NOVA-000877,social,customer_support,neutral,low,,False
NOVA-001381,app_review,ui_ux,negative,medium,conflict_ui_redesign,False
NOVA-001027,survey,onboarding_kyc,positive,low,,False
NOVA-001097,call_center,app_performance,negative,medium,,False
NOVA-001032,social,customer_support,negative,medium,,False
NOVA-001196,social,security_fraud,negative,medium,,False
NOVA-001294,social,app_performance,negative,urgent,emerging_payment_crash_v420,False
NOVA-000883,social,fees_pricing,negative,medium,,False
NOVA-001136,app_review,rewards_cashback,negative,medium,,False
NOVA-000853,email,ui_ux,negative,medium,,False
NOVA-001156,app_review,ui_ux,negative,medium,,False
NOVA-001373,survey,ui_ux,negative,medium,conflict_ui_redesign,False
NOVA-001224,support_ticket,app_performance,negative,medium,,False
NOVA-000983,support_ticket,customer_support,negative,medium,,False
NOVA-001131,call_center,payments_transactions,negative,medium,,False
NOVA-000985,app_review,app_performance,neutral,low,,False
NOVA-001211,social,fees_pricing,negative,medium,,False
NOVA-000909,call_center,app_performance,negative,medium,,False
NOVA-001276,support_ticket,ui_ux,positive,low,,False
NOVA-000949,social,onboarding_kyc,negative,medium,,False
NOVA-001368,social,ui_ux,positive,low,conflict_ui_redesign,False
NOVA-000857,app_review,ui_ux,negative,medium,,False
NOVA-000868,app_review,payments_transactions,positive,low,,False
NOVA-001080,app_review,customer_support,positive,low,,False
NOVA-000941,support_ticket,payments_transactions,negative,medium,,False
NOVA-000898,social,app_performance,neutral,low,,False
NOVA-000889,app_review,onboarding_kyc,negative,medium,,False
NOVA-000948,call_center,fees_pricing,negative,medium,,False
