record_id,marketplace,rating,title,feedback_body,device_os,build,review_date,country,resolved_flag
NOVA-001239,App Store,1,"செயலி பணம் செலுத்தும் போது கிராஷ் ஆகிறது, சரி செ","செயலி பணம் செலுத்தும் போது கிராஷ் ஆகிறது, சரி செய்யவும்.",iOS,4.1.2,2026-04-04T06:44:22,Delhi,FALSE
NOVA-001387,Play Store,1,"Hate the new redesign, please bring back the old","Hate the new redesign, please bring back the old layout. Everything moved.",Android,4.0.1,2026-07-22T15:26:04,Mumbai,FALSE
NOVA-001028,App Store,1,"White screen on launch after the update, tried r","White screen on launch after the update, tried reinstalling twice.",iOS,4.0.1,2026-07-08T06:45:58,Kolkata,FALSE
NOVA-000871,Play Store,2,Points I earned vanished after the update,Points I earned vanished after the update.,Android,4.0.4,2026-06-14T00:41:46,Mumbai,FALSE
NOVA-001301,App Store,2,"New version bricked payments for me, crashes at ","New version bricked payments for me, crashes at the confirm step every time.",iOS,4.2.0,2026-08-02T04:10:12,Delhi,TRUE
NOVA-000804,App Store,3,What are the support hours for phone assistance?,What are the support hours for phone assistance?,iOS,4.0.1,2026-07-15T02:33:10,Jaipur,FALSE
NOVA-000988,App Store,1,"Cannot increase my card limit, the option is gre","Cannot increase my card limit, the option is greyed out.",iOS,4.1.2,2026-06-22T16:22:19,Indore,FALSE
NOVA-001279,App Store,2,Started charging for what used to be a free feat,Started charging for what used to be a free feature.,iOS,4.1.3,2026-07-28T13:51:00,Bengaluru,TRUE
NOVA-000856,App Store,2,2FA codes arrive five minutes late so I keep get,2FA codes arrive five minutes late so I keep getting locked out.,iOS,4.1.2,2026-08-04T14:51:25,Kochi,TRUE
NOVA-001143,Play Store,4,"No hidden charges, what you see is what you pay","No hidden charges, what you see is what you pay.",Android,4.1.2,2026-03-22T07:45:25,Hyderabad,FALSE
NOVA-000967,App Store,1,Physical card has not arrived after 7 days of 's,Physical card has not arrived after 7 days of 'shipped'.,iOS,4.1.0,2026-07-27T00:38:28,Kochi,FALSE
NOVA-000808,App Store,3,Where did the rewards tab move to?,Where did the rewards tab move to?,iOS,4.1.3,2026-04-13T04:59:19,Pune,TRUE
NOVA-000945,Play Store,1,Points I earned vanished after the update,Points I earned vanished after the update.,Android,4.0.4,2026-06-23T03:34:02,Indore,FALSE
