record_id,source,theme,sentiment,priority,signal_tags,is_noise
NOVA-000236,email,card_issues,negative,medium,,False
NOVA-000507,social,customer_support,negative,medium,,False
NOVA-000093,email,ui_ux,negative,medium,,False
NOVA-000630,social,customer_support,negative,medium,,False
NOVA-000722,survey,security_fraud,negative,medium,,False
NOVA-000424,survey,rewards_cashback,neutral,low,,False
NOVA-000107,app_review,rewards_cashback,positive,low,,False
NOVA-000047,survey,ui_ux,negative,medium,,False
NOVA-000418,survey,app_performance,neutral,low,,False
NOVA-000526,support_ticket,fees_pricing,negative,medium,,False
NOVA-000164,survey,feature_request,neutral,low,,False
NOVA-000318,app_review,app_performance,negative,medium,,False
NOVA-000649,app_review,ui_ux,neutral,low,,False
NOVA-000416,support_ticket,ui_ux,negative,medium,,False
NOVA-000704,survey,onboarding_kyc,neutral,low,,False
NOVA-000397,email,card_issues,negative,medium,,False
NOVA-000709,email,card_issues,positive,low,,False
NOVA-000006,support_ticket,customer_support,positive,low,,False
NOVA-000215,app_review,onboarding_kyc,negative,medium,,False
NOVA-000793,app_review,rewards_cashback,negative,high,emerging_cashback_not_credited,False
NOVA-000240,support_ticket,rewards_cashback,negative,medium,,False
NOVA-000149,app_review,payments_transactions,negative,medium,,False
NOVA-000034,support_ticket,ui_ux,neutral,low,,False
NOVA-000265,survey,onboarding_kyc,negative,medium,,False
NOVA-000260,support_ticket,payments_transactions,neutral,low,,False
NOVA-000770,app_review,rewards_cashback,negative,high,emerging_cashback_not_credited,False
NOVA-000371,social,payments_transactions,negative,medium,,False
NOVA-000513,survey,ui_ux,neutral,low,,False
NOVA-000114,support_ticket,app_performance,negative,medium,,False
NOVA-000766,app_review,rewards_cashback,negative,high,emerging_cashback_not_credited,False
NOVA-000488,social,payments_transactions,negative,medium,,False
NOVA-000579,support_ticket,onboarding_kyc,positive,low,,False
NOVA-000191,app_review,fees_pricing,positive,low,,False
NOVA-000778,app_review,rewards_cashback,negative,high,emerging_cashback_not_credited,False
NOVA-000696,support_ticket,feature_request,neutral,low,,False
NOVA-000325,app_review,rewards_cashback,negative,medium,,False
NOVA-000484,app_review,card_issues,negative,medium,,False
NOVA-000532,app_review,app_performance,negative,medium,,False
NOVA-000314,social,payments_transactions,negative,medium,,False
NOVA-000382,app_review,card_issues,negative,medium,,False
NOVA-000535,survey,feature_request,neutral,low,,False
NOVA-000492,app_review,card_issues,neutral,low,,False
NOVA-000543,support_ticket,rewards_cashback,negative,medium,,False
NOVA-000342,survey,onboarding_kyc,negative,medium,,False
NOVA-000456,app_review,payments_transactions,negative,medium,,False
NOVA-000202,social,customer_support,positive,low,,False
NOVA-000153,email,payments_transactions,negative,medium,,False
NOVA-000104,survey,payments_transactions,negative,medium,,False
NOVA-000599,app_review,app_performance,negative,medium,,False
NOVA-000073,app_review,feature_request,neutral,low,,False
NOVA-000777,app_review,rewards_cashback,negative,high,emerging_cashback_not_credited,False
NOVA-000053,support_ticket,security_fraud,negative,medium,,False
NOVA-000503,support_ticket,card_issues,positive,low,,False
NOVA-000760,app_review,payments_transactions,negative,medium,,False
NOVA-000509,support_ticket,feature_request,neutral,low,,False
NOVA-000607,app_review,customer_support,negative,medium,,False
NOVA-000113,support_ticket,security_fraud,neutral,low,,False
NOVA-000209,email,app_performance,positive,low,,False
NOVA-000586,social,rewards_cashback,negative,medium,,False
NOVA-000724,app_review,card_issues,negative,medium,,False
NOVA-000500,app_review,ui_ux,positive,low,,False
NOVA-000650,app_review,customer_support,negative,medium,,False
NOVA-000708,support_ticket,customer_support,negative,medium,,False
NOVA-000119,support_ticket,feature_request,neutral,low,,False
NOVA-000569,social,payments_transactions,negative,medium,,False
NOVA-000375,app_review,onboarding_kyc,positive,low,,False
NOVA-000174,social,rewards_cashback,negative,medium,,False
NOVA-000786,support_ticket,rewards_cashback,negative,high,emerging_cashback_not_credited,False
NOVA-000161,survey,fees_pricing,negative,medium,,False
NOVA-000563,app_review,rewards_cashback,negative,medium,,False
