record_id,store,rating,title,body,os_version,app_build,submitted_at,country
NOVA-000107,App Store,4,"Cashback credited instantly, better than my old ","Cashback credited instantly, better than my old bank.",iOS,4.1.3,2026-03-23T11:14:02,Mumbai
NOVA-000318,Play Store,2,App crashes every time I open the payment screen,App crashes every time I open the payment screen. Unusable.,Android,4.1.0,2026-08-13T11:12:04,Kolkata
NOVA-000649,App Store,3,Can I customise the home screen widgets?,Can I customise the home screen widgets?,iOS,4.0.4,2026-03-29T04:42:09,Dubai
NOVA-000215,App Store,2,Signup rejected my valid PAN twice with no expla,Signup rejected my valid PAN twice with no explanation.,iOS,4.1.3,2026-06-18T07:59:20,Kochi
NOVA-000793,Play Store,1,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,Android,4.2.0,2026-08-09T14:22:59,Ahmedabad
NOVA-000149,Play Store,2,Sent money to the wrong contact and there is no ,Sent money to the wrong contact and there is no way to raise a dispute in the app.,Android,4.1.3,2026-03-11T17:37:36,Ahmedabad
NOVA-000770,Play Store,2,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,Android,4.1.3,2026-08-14T22:57:08,Lucknow
NOVA-000766,Play Store,2,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,Android,4.0.4,2026-08-18T00:48:05,Jaipur
NOVA-000191,Play Store,4,Zero forex markup is a genuine reason I switched,Zero forex markup is a genuine reason I switched to Nova.,Android,4.1.0,2026-06-08T14:50:29,Bengaluru
NOVA-000778,App Store,2,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,iOS,4.2.0,2026-08-04T02:36:06,Delhi
NOVA-000325,Play Store,2,Cashback from last month still not credited to m,Cashback from last month still not credited to my account.,Android,4.1.0,2026-06-26T19:29:42,Bengaluru
NOVA-000484,Play Store,2,"Cannot increase my card limit, the option is gre","Cannot increase my card limit, the option is greyed out.",Android,4.1.3,2026-03-08T04:43:13,Ahmedabad
NOVA-000532,App Store,2,App crashes every time I open the payment screen,App crashes every time I open the payment screen. Unusable.,iOS,4.1.0,2026-06-13T22:06:10,Jaipur
NOVA-000382,App Store,1,"Cannot increase my card limit, the option is gre","Cannot increase my card limit, the option is greyed out.",iOS,4.0.4,2026-03-18T05:01:00,Dubai
NOVA-000492,App Store,3,Can I have both a virtual and physical card?,Can I have both a virtual and physical card?,iOS,4.1.0,2026-07-27T06:57:12,Delhi
NOVA-000456,App Store,2,Auto-pay for my rent silently failed and I got a,Auto-pay for my rent silently failed and I got a late fee.,iOS,4.1.0,2026-07-14T22:49:39,Singapore
NOVA-000599,Play Store,1,"So slow to load, spinning wheel for 30 seconds o","So slow to load, spinning wheel for 30 seconds on the home tab.",Android,4.1.2,2026-06-20T16:22:03,Lucknow
NOVA-000073,Play Store,3,Can you integrate with Google Pay for tap to pay,Can you integrate with Google Pay for tap to pay?,Android,4.1.0,2026-04-01T06:00:02,Indore
NOVA-000777,Play Store,1,The reward offer disappeared before it was suppo,The reward offer disappeared before it was supposed to expire.,Android,4.2.0,2026-08-09T03:10:48,Pune
NOVA-000760,App Store,2,Payment failed but the amount got debited,Payment failed but the amount got debited. No refund even after 9 days.,iOS,4.1.2,2026-04-28T13:59:31,Lucknow
NOVA-000607,App Store,1,Chat support just sends canned replies and never,Chat support just sends canned replies and never resolves anything.,iOS,4.0.1,2026-03-19T21:53:02,Delhi
NOVA-000724,Play Store,2,Physical card has not arrived after 15 days of ',Physical card has not arrived after 15 days of 'shipped'.,Android,4.1.3,2026-07-06T15:18:37,Chennai
NOVA-000500,App Store,4,"Clean interface, everything is where you expect ","Clean interface, everything is where you expect it to be.",iOS,4.1.2,2026-04-21T09:48:27,Dubai
NOVA-000650,App Store,2,Chat support just sends canned replies and never,Chat support just sends canned replies and never resolves anything.,iOS,4.1.0,2026-06-27T18:23:56,Ahmedabad
NOVA-000375,App Store,5,"Onboarding took five minutes, KYC approved same ","Onboarding took five minutes, KYC approved same day. Impressive.",iOS,4.2.0,2026-08-16T14:17:01,Jaipur
NOVA-000563,App Store,1,Points I earned vanished after the update,Points I earned vanished after the update.,iOS,4.1.2,2026-07-12T22:49:12,Chennai
NOVA-000404,App Store,1,Freezes on the transaction history page and I ha,Freezes on the transaction history page and I have to restart.,iOS,4.0.4,2026-03-27T17:19:12,Bengaluru
NOVA-000623,App Store,1,App crashes every time I open the payment screen,App crashes every time I open the payment screen. Unusable.,iOS,4.1.2,2026-04-25T00:33:03,Singapore
NOVA-000061,App Store,3,Can I customise the home screen widgets?,Can I customise the home screen widgets?,iOS,4.1.3,2026-05-02T23:39:15,Hyderabad
NOVA-000278,Play Store,1,Charged a convenience fee that was never disclos,Charged a convenience fee that was never disclosed upfront.,Android,4.0.1,2026-04-11T02:14:44,Jaipur
NOVA-000051,Play Store,4,"No hidden charges, what you see is what you pay","No hidden charges, what you see is what you pay.",Android,4.0.4,2026-05-16T14:17:26,Lucknow
NOVA-000521,App Store,1,App crashes every time I open the payment screen,App crashes every time I open the payment screen. Unusable.,iOS,4.0.4,2026-03-10T15:46:36,Pune
NOVA-000159,App Store,4,"Support sorted my refund in under an hour, reall","Support sorted my refund in under an hour, really helpful agent.",iOS,4.1.0,2026-05-28T20:18:11,Jaipur
NOVA-000027,Play Store,5,"Virtual card was ready instantly, used it the sa","Virtual card was ready instantly, used it the same minute.",Android,4.0.1,2026-05-05T10:55:59,London
NOVA-000495,Play Store,3,Add Apple Watch support for quick balance checks,Add Apple Watch support for quick balance checks.,Android,4.1.2,2026-07-13T09:15:33,Ahmedabad
NOVA-000440,App Store,5,"Support sorted my refund in under an hour, reall","Support sorted my refund in under an hour, really helpful agent.",iOS,4.1.2,2026-07-25T21:10:55,Delhi
NOVA-000135,App Store,1,Video KYC agent never connected after three sche,Video KYC agent never connected after three scheduled attempts.,iOS,4.1.0,2026-05-25T01:38:39,London
NOVA-000402,Play Store,1,My card gets declined at petrol pumps every sing,My card gets declined at petrol pumps every single time.,Android,4.1.3,2026-07-22T15:12:17,Kochi
NOVA-000634,App Store,1,"The navigation is confusing, I can never find my","The navigation is confusing, I can never find my statements.",iOS,4.0.1,2026-07-11T09:34:27,Indore
NOVA-000413,App Store,3,Can you integrate with Google Pay for tap to pay,Can you integrate with Google Pay for tap to pay?,iOS,4.2.0,2026-08-04T06:27:50,Indore
